"Year","County","Commodity","Crop","ACRES HARVESTED","PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE"
"1950","BLUE EARTH","WHEAT","WHEAT, WINTER","1,800","50,400","28"
"1950","BROWN","BARLEY","BARLEY","10,300","360,500","35"
"1950","BROWN","CORN","CORN, GRAIN","95,200","4,379,200","46"
"1950","BROWN","FLAXSEED","FLAXSEED","21,300","276,900","13"
"1950","BROWN","HAY","HAY","33,700","N/A","N/A"
"1950","BROWN","OATS","OATS","73,900","3,547,200","48"
"1950","BROWN","RYE","RYE","1,400","32,200","23"
"1950","BROWN","SOYBEANS","SOYBEANS","31,400","533,800","17"
"1950","BROWN","WHEAT","WHEAT","2,720","50,370","18.5"
"1950","BROWN","WHEAT","WHEAT, SPRING, (EXCL DURUM)","2,500","45,000","18"
"1950","BROWN","WHEAT","WHEAT, SPRING, DURUM","10","170","17"
"1950","BROWN","WHEAT","WHEAT, WINTER","210","5,200","24.8"
"1950","CARLTON","BARLEY","BARLEY","450","11,200","24.9"
"1950","CARLTON","CORN","CORN, GRAIN","1,800","27,000","15"
"1950","CARLTON","FLAXSEED","FLAXSEED","700","6,600","9.4"
"1950","CARLTON","HAY","HAY","49,400","N/A","N/A"
"1950","CARLTON","OATS","OATS","7,800","257,400","33"
"1950","CARLTON","RYE","RYE","50","500","10"
"1950","CARLTON","WHEAT","WHEAT","80","890","11.1"
"1950","CARLTON","WHEAT","WHEAT, SPRING, (EXCL DURUM)","10","150","15"
"1950","CARLTON","WHEAT","WHEAT, SPRING, DURUM","20","240","12"
"1950","CARLTON","WHEAT","WHEAT, WINTER","50","500","10"
"1950","CARVER","BARLEY","BARLEY","800","25,600","32"
"1950","CARVER","CORN","CORN, GRAIN","45,300","2,265,000","50"
"1950","CARVER","FLAXSEED","FLAXSEED","120","1,680","14"
"1950","CARVER","HAY","HAY","40,700","N/A","N/A"
"1950","CARVER","OATS","OATS","41,700","2,251,800","54"
"1950","CARVER","RYE","RYE","120","1,920","16"
"1950","CARVER","SOYBEANS","SOYBEANS","200","2,800","14"
"1950","CARVER","WHEAT","WHEAT","2,710","72,000","26.6"
"1950","CARVER","WHEAT","WHEAT, SPRING, (EXCL DURUM)","1,300","31,200","24"
"1950","CARVER","WHEAT","WHEAT, SPRING, DURUM","10","200","20"
"1950","CARVER","WHEAT","WHEAT, WINTER","1,400","40,600","29"
"1950","CASS","BARLEY","BARLEY","340","7,500","22.1"
"1950","CASS","CORN","CORN, GRAIN","14,000","252,000","18"
"1950","CASS","FLAXSEED","FLAXSEED","40","380","9.5"
"1950","CASS","HAY","HAY","53,800","N/A","N/A"
"1950","CASS","OATS","OATS","11,800","318,600","27"
"1950","CASS","RYE","RYE","800","10,400","13"
"1950","CASS","WHEAT","WHEAT","260","3,460","13.3"
"1950","CASS","WHEAT","WHEAT, SPRING, (EXCL DURUM)","120","1,920","16"
"1950","CASS","WHEAT","WHEAT, SPRING, DURUM","70","840","12"
"1950","CASS","WHEAT","WHEAT, WINTER","70","700","10"
"1950","CHIPPEWA","BARLEY","BARLEY","22,000","616,000","28"
"1950","CHIPPEWA","CORN","CORN, GRAIN","104,500","3,762,000","36"
"1950","CHIPPEWA","FLAXSEED","FLAXSEED","21,000","252,000","12"
"1950","CHIPPEWA","HAY","HAY","19,100","N/A","N/A"
"1950","CHIPPEWA","OATS","OATS","72,700","2,253,700","31"
"1950","CHIPPEWA","RYE","RYE","800","10,400","13"
"1950","CHIPPEWA","SOYBEANS","SOYBEANS","35,800","465,400","13"
"1950","CHIPPEWA","WHEAT","WHEAT","6,090","79,540","13.1"
"1950","CHIPPEWA","WHEAT","WHEAT, SPRING, (EXCL DURUM)","5,800","75,400","13"
"1950","CHIPPEWA","WHEAT","WHEAT, SPRING, DURUM","80","1,200","15"
"1950","CHIPPEWA","WHEAT","WHEAT, WINTER","210","2,940","14"
"1950","CHISAGO","BARLEY","BARLEY","900","19,800","22"
"1950","CHISAGO","CORN","CORN, GRAIN","28,700","717,500","25"
"1950","CHISAGO","FLAXSEED","FLAXSEED","90","810","9"
"1950","CHISAGO","HAY","HAY","32,500","N/A","N/A"
"1950","CHISAGO","OATS","OATS","22,900","664,100","29"
"1950","CHISAGO","RYE","RYE","3,500","35,000","10"
"1950","CHISAGO","SOYBEANS","SOYBEANS","5,500","27,500","5"
"1950","CHISAGO","WHEAT","WHEAT","390","3,960","10.2"
"1950","CHISAGO","WHEAT","WHEAT, SPRING, (EXCL DURUM)","150","1,200","8"
"1950","CHISAGO","WHEAT","WHEAT, SPRING, DURUM","30","450","15"
"1950","CHISAGO","WHEAT","WHEAT, WINTER","210","2,310","11"
"1950","CLAY","BARLEY","BARLEY","48,800","1,561,600","32"
"1950","CLAY","CORN","CORN, GRAIN","42,500","1,190,000","28"
"1950","CLAY","FLAXSEED","FLAXSEED","40,300","443,300","11"
"1950","CLAY","HAY","HAY","70,500","N/A","N/A"
"1950","CLAY","OATS","OATS","87,400","2,884,200","33"
"1950","CLAY","RYE","RYE","1,900","19,000","10"
"1950","CLAY","SOYBEANS","SOYBEANS","15,000","165,000","11"
"1950","CLAY","WHEAT","WHEAT","76,000","1,343,800","17.7"
"1950","CLAY","WHEAT","WHEAT, SPRING, (EXCL DURUM)","59,000","1,121,000","19"
"1950","CLAY","WHEAT","WHEAT, SPRING, DURUM","16,400","213,200","13"
"1950","CLAY","WHEAT","WHEAT, WINTER","600","9,600","16"
"1950","CLEARWATER","BARLEY","BARLEY","5,400","124,200","23"
"1950","CLEARWATER","CORN","CORN, GRAIN","3,300","72,600","22"
"1950","CLEARWATER","FLAXSEED","FLAXSEED","2,900","33,400","11.5"
"1950","CLEARWATER","HAY","HAY","40,100","N/A","N/A"
"1950","CLEARWATER","OATS","OATS","20,600","803,400","39"
"1950","CLEARWATER","RYE","RYE","70","840","12"
"1950","CLEARWATER","WHEAT","WHEAT","4,020","75,100","18.7"
"1950","CLEARWATER","WHEAT","WHEAT, SPRING, (EXCL DURUM)","3,700","70,300","19"
"1950","CLEARWATER","WHEAT","WHEAT, SPRING, DURUM","60","900","15"
"1950","CLEARWATER","WHEAT","WHEAT, WINTER","260","3,900","15"
"1950","COTTONWOOD","BARLEY","BARLEY","18,500","647,500","35"
"1950","COTTONWOOD","CORN","CORN, GRAIN","111,500","4,906,000","44"
"1950","COTTONWOOD","FLAXSEED","FLAXSEED","40,000","480,000","12"
"1950","COTTONWOOD","HAY","HAY","26,800","N/A","N/A"
"1950","COTTONWOOD","OATS","OATS","79,500","3,418,500","43"
"1950","COTTONWOOD","RYE","RYE","490","8,800","18"
"1950","COTTONWOOD","SOYBEANS","SOYBEANS","36,900","627,300","17"
"1950","COTTONWOOD","WHEAT","WHEAT","630","12,660","20.1"
"1950","COTTONWOOD","WHEAT","WHEAT, SPRING, (EXCL DURUM)","600","12,000","20"
"1950","COTTONWOOD","WHEAT","WHEAT, WINTER","30","660","22"
"1950","CROW WING","BARLEY","BARLEY","90","1,890","21"
"1950","CROW WING","CORN","CORN, GRAIN","12,400","186,000","15"
"1950","CROW WING","FLAXSEED","FLAXSEED","20","190","9.5"
"1950","CROW WING","HAY","HAY","34,600","N/A","N/A"
"1950","CROW WING","OATS","OATS","9,200","220,800","24"
"1950","CROW WING","RYE","RYE","700","10,500","15"
"1950","CROW WING","SOYBEANS","SOYBEANS","300","1,800","6"
"1950","CROW WING","WHEAT","WHEAT","90","1,320","14.7"
"1950","CROW WING","WHEAT","WHEAT, SPRING, (EXCL DURUM)","30","450","15"
"1950","CROW WING","WHEAT","WHEAT, SPRING, DURUM","10","120","12"
"1950","CROW WING","WHEAT","WHEAT, WINTER","50","750","15"
"1950","DOUGLAS","BARLEY","BARLEY","18,100","488,700","27"
"1950","DOUGLAS","CORN","CORN, GRAIN","48,100","1,539,200","32"
"1950","DOUGLAS","FLAXSEED","FLAXSEED","8,500","85,000","10"
"1950","DOUGLAS","HAY","HAY","54,100","N/A","N/A"
"1950","DOUGLAS","OATS","OATS","70,800","2,124,000","30"
"1950","DOUGLAS","RYE","RYE","1,100","13,200","12"
"1950","DOUGLAS","SOYBEANS","SOYBEANS","1,900","24,700","13"
"1950","DOUGLAS","WHEAT","WHEAT","10,260","162,640","15.9"
"1950","DOUGLAS","WHEAT","WHEAT, SPRING, (EXCL DURUM)","9,900","158,400","16"
"1950","DOUGLAS","WHEAT","WHEAT, SPRING, DURUM","70","1,050","15"
"1950","DOUGLAS","WHEAT","WHEAT, WINTER","290","3,190","11"
"1950","FARIBAULT","BARLEY","BARLEY","5,800","203,000","35"
"1950","FARIBAULT","CORN","CORN, GRAIN","127,200","5,851,200","46"
"1950","FARIBAULT","FLAXSEED","FLAXSEED","10,700","149,800","14"
"1950","FARIBAULT","HAY","HAY","30,000","N/A","N/A"
"1950","FARIBAULT","OATS","OATS","96,700","4,641,600","48"
"1950","FARIBAULT","RYE","RYE","410","10,200","24.9"
"1950","FARIBAULT","SOYBEANS","SOYBEANS","72,500","1,450,000","20"
"1950","FARIBAULT","WHEAT","WHEAT","1,090","23,480","21.5"
"1950","FARIBAULT","WHEAT","WHEAT, SPRING, (EXCL DURUM)","600","13,200","22"
"1950","FARIBAULT","WHEAT","WHEAT, SPRING, DURUM","10","200","20"
"1950","FARIBAULT","WHEAT","WHEAT, WINTER","480","10,080","21"
"1950","FREEBORN","BARLEY","BARLEY","2,500","82,500","33"
"1950","FREEBORN","CORN","CORN, GRAIN","111,500","5,129,000","46"
"1950","FREEBORN","FLAXSEED","FLAXSEED","1,500","16,500","11"
"1950","FREEBORN","HAY","HAY","44,600","N/A","N/A"
"1950","FREEBORN","OATS","OATS","82,700","3,969,600","48"
"1950","FREEBORN","RYE","RYE","150","3,300","22"
"1950","FREEBORN","SOYBEANS","SOYBEANS","42,900","729,300","17"
"1950","FREEBORN","WHEAT","WHEAT","650","13,400","20.6"
"1950","FREEBORN","WHEAT","WHEAT, SPRING, (EXCL DURUM)","390","8,200","21"
"1950","FREEBORN","WHEAT","WHEAT, SPRING, DURUM","20","400","20"
"1950","FREEBORN","WHEAT","WHEAT, WINTER","240","4,800","20"
"1950","GRANT","BARLEY","BARLEY","42,000","1,134,000","27"
"1950","GRANT","CORN","CORN, GRAIN","54,500","1,744,000","32"
"1950","GRANT","FLAXSEED","FLAXSEED","26,400","316,800","12"
"1950","GRANT","HAY","HAY","34,000","N/A","N/A"
"1950","GRANT","OATS","OATS","67,000","2,278,000","34"
"1950","GRANT","RYE","RYE","600","7,800","13"
"1950","GRANT","SOYBEANS","SOYBEANS","4,900","53,900","11"
"1950","GRANT","WHEAT","WHEAT","13,210","196,750","14.9"
"1950","GRANT","WHEAT","WHEAT, SPRING, (EXCL DURUM)","12,500","187,500","15"
"1950","GRANT","WHEAT","WHEAT, SPRING, DURUM","250","3,250","13"
"1950","GRANT","WHEAT","WHEAT, WINTER","460","6,000","13"
"1950","HENNEPIN","BARLEY","BARLEY","1,000","25,000","25"
"1950","HENNEPIN","CORN","CORN, GRAIN","33,900","1,457,700","43"
"1950","HENNEPIN","FLAXSEED","FLAXSEED","100","1,050","10.5"
"1950","HENNEPIN","HAY","HAY","37,100","N/A","N/A"
"1950","HENNEPIN","OATS","OATS","26,700","1,281,600","48"
"1950","HENNEPIN","RYE","RYE","2,200","35,200","16"
"1950","HENNEPIN","SOYBEANS","SOYBEANS","2,500","17,500","7"
"1950","HENNEPIN","WHEAT","WHEAT","1,310","27,370","20.9"
"1950","HENNEPIN","WHEAT","WHEAT, SPRING, (EXCL DURUM)","700","14,000","20"
"1950","HENNEPIN","WHEAT","WHEAT, SPRING, DURUM","10","170","17"
"1950","HENNEPIN","WHEAT","WHEAT, WINTER","600","13,200","22"
"1950","HUBBARD","BARLEY","BARLEY","600","13,200","22"
"1950","HUBBARD","CORN","CORN, GRAIN","13,400","241,200","18"
"1950","HUBBARD","FLAXSEED","FLAXSEED","430","3,870","9"
"1950","HUBBARD","HAY","HAY","34,300","N/A","N/A"
"1950","HUBBARD","OATS","OATS","17,100","495,900","29"
"1950","HUBBARD","RYE","RYE","500","6,500","13"
"1950","HUBBARD","WHEAT","WHEAT","1,710","25,280","14.8"
"1950","HUBBARD","WHEAT","WHEAT, SPRING, (EXCL DURUM)","1,600","24,000","15"
"1950","HUBBARD","WHEAT","WHEAT, SPRING, DURUM","90","1,080","12"
"1950","HUBBARD","WHEAT","WHEAT, WINTER","20","200","10"
"1950","ISANTI","BARLEY","BARLEY","700","17,500","25"
"1950","ISANTI","CORN","CORN, GRAIN","22,500","495,000","22"
"1950","ISANTI","FLAXSEED","FLAXSEED","190","1,520","8"
"1950","ISANTI","HAY","HAY","31,900","N/A","N/A"
"1950","ISANTI","OATS","OATS","22,700","476,700","21"
"1950","ISANTI","RYE","RYE","12,000","168,000","14"
"1950","ISANTI","SOYBEANS","SOYBEANS","8,000","48,000","6"
"1950","ISANTI","WHEAT","WHEAT","1,300","16,100","12.4"
"1950","ISANTI","WHEAT","WHEAT, SPRING, (EXCL DURUM)","500","2,500","5"
"1950","ISANTI","WHEAT","WHEAT, WINTER","800","13,600","17"
"1950","ITASCA","BARLEY","BARLEY","500","12,500","25"
"1950","ITASCA","CORN","CORN, GRAIN","1,000","20,000","20"
"1950","ITASCA","FLAXSEED","FLAXSEED","700","7,700","11"
"1950","ITASCA","HAY","HAY","41,400","N/A","N/A"
"1950","ITASCA","OATS","OATS","8,400","294,000","35"
"1950","ITASCA","RYE","RYE","10","210","21"
"1950","ITASCA","WHEAT","WHEAT","240","3,460","14.4"
"1950","ITASCA","WHEAT","WHEAT, SPRING, (EXCL DURUM)","140","2,380","17"
"1950","ITASCA","WHEAT","WHEAT, SPRING, DURUM","10","180","18"
"1950","ITASCA","WHEAT","WHEAT, WINTER","90","900","10"
"1950","JACKSON","BARLEY","BARLEY","10,600","360,400","34"
"1950","JACKSON","CORN","CORN, GRAIN","134,400","5,644,800","42"
"1950","JACKSON","FLAXSEED","FLAXSEED","31,400","471,000","15"
"1950","JACKSON","HAY","HAY","27,300","N/A","N/A"
"1950","JACKSON","OATS","OATS","102,500","4,715,000","46"
"1950","JACKSON","RYE","RYE","290","5,800","20"
"1950","JACKSON","SOYBEANS","SOYBEANS","35,400","566,400","16"
"1950","JACKSON","WHEAT","WHEAT","450","10,670","23.7"
"1950","JACKSON","WHEAT","WHEAT, SPRING, (EXCL DURUM)","340","8,200","24.1"
"1950","JACKSON","WHEAT","WHEAT, SPRING, DURUM","40","720","18"
"1950","JACKSON","WHEAT","WHEAT, WINTER","70","1,750","25"
"1950","KANABEC","BARLEY","BARLEY","600","13,800","23"
"1950","KANABEC","CORN","CORN, GRAIN","17,500","262,500","15"
"1950","KANABEC","FLAXSEED","FLAXSEED","440","3,520","8"
"1950","KANABEC","HAY","HAY","34,200","N/A","N/A"
"1950","KANABEC","OATS","OATS","18,100","488,700","27"
"1950","KANABEC","RYE","RYE","320","4,800","15"
"1950","KANABEC","SOYBEANS","SOYBEANS","300","1,500","5"
"1950","KANABEC","WHEAT","WHEAT","70","720","10.3"
"1950","KANABEC","WHEAT","WHEAT, SPRING, (EXCL DURUM)","20","120","6"
"1950","KANABEC","WHEAT","WHEAT, WINTER","50","600","12"
"1950","KANDIYOHI","BARLEY","BARLEY","30,100","993,300","33"
"1950","KANDIYOHI","CORN","CORN, GRAIN","106,000","4,240,000","40"
"1950","KANDIYOHI","FLAXSEED","FLAXSEED","13,700","171,200","12.5"
"1950","KANDIYOHI","HAY","HAY","54,000","N/A","N/A"
"1950","KANDIYOHI","OATS","OATS","87,900","3,340,200","38"
"1950","KANDIYOHI","RYE","RYE","2,000","38,000","19"
"1950","KANDIYOHI","SOYBEANS","SOYBEANS","24,600","270,600","11"
"1950","KANDIYOHI","WHEAT","WHEAT","4,370","71,420","16.3"
"1950","KANDIYOHI","WHEAT","WHEAT, SPRING, (EXCL DURUM)","3,800","60,800","16"
"1950","KANDIYOHI","WHEAT","WHEAT, SPRING, DURUM","70","1,120","16"
"1950","KANDIYOHI","WHEAT","WHEAT, WINTER","500","9,500","19"
"1950","KITTSON","BARLEY","BARLEY","73,300","2,052,400","28"
"1950","KITTSON","CORN","CORN, GRAIN","3,800","53,200","14"
"1950","KITTSON","FLAXSEED","FLAXSEED","31,000","279,000","9"
"1950","KITTSON","HAY","HAY","40,100","N/A","N/A"
"1950","KITTSON","OATS","OATS","36,900","1,365,300","37"
"1950","KITTSON","RYE","RYE","1,600","16,000","10"
"1950","KITTSON","SOYBEANS","SOYBEANS","100","1,100","11"
"1950","KITTSON","WHEAT","WHEAT","92,240","1,635,800","17.7"
"1950","KITTSON","WHEAT","WHEAT, SPRING, (EXCL DURUM)","80,100","1,441,800","18"
"1950","KITTSON","WHEAT","WHEAT, SPRING, DURUM","11,900","190,400","16"
"1950","KITTSON","WHEAT","WHEAT, WINTER","240","3,600","15"
"1950","KOOCHICHING","BARLEY","BARLEY","1,800","36,000","20"
"1950","KOOCHICHING","CORN","CORN, GRAIN","400","8,000","20"
"1950","KOOCHICHING","FLAXSEED","FLAXSEED","4,200","33,600","8"
"1950","KOOCHICHING","HAY","HAY","24,600","N/A","N/A"
"1950","KOOCHICHING","OATS","OATS","3,600","100,800","28"
"1950","KOOCHICHING","RYE","RYE","40","600","15"
"1950","KOOCHICHING","WHEAT","WHEAT","940","13,680","14.6"
"1950","KOOCHICHING","WHEAT","WHEAT, SPRING, (EXCL DURUM)","800","12,000","15"
"1950","KOOCHICHING","WHEAT","WHEAT, WINTER","140","1,680","12"
"1950","LAC QUI PARLE","BARLEY","BARLEY","26,500","689,000","26"
"1950","LAC QUI PARLE","CORN","CORN, GRAIN","117,000","4,446,000","38"
"1950","LAC QUI PARLE","FLAXSEED","FLAXSEED","49,000","539,000","11"
"1950","LAC QUI PARLE","HAY","HAY","26,000","N/A","N/A"
"1950","LAC QUI PARLE","OATS","OATS","75,000","2,400,000","32"
"1950","LAC QUI PARLE","RYE","RYE","2,600","41,600","16"
"1950","LAC QUI PARLE","SOYBEANS","SOYBEANS","37,700","414,700","11"
"1950","LAC QUI PARLE","WHEAT","WHEAT","13,950","207,150","14.8"
"1950","LAC QUI PARLE","WHEAT","WHEAT, SPRING, (EXCL DURUM)","11,800","177,000","15"
"1950","LAC QUI PARLE","WHEAT","WHEAT, SPRING, DURUM","50","750","15"
"1950","LAC QUI PARLE","WHEAT","WHEAT, WINTER","2,100","29,400","14"
"1950","LAKE","HAY","HAY","2,700","N/A","N/A"
"1950","LAKE","OATS","OATS","190","7,800","41.1"
"1950","LAKE","WHEAT","WHEAT","10","140","14"
"1950","LAKE","WHEAT","WHEAT, SPRING, (EXCL DURUM)","10","140","14"
"1950","LAKE OF THE WOODS","BARLEY","BARLEY","8,900","178,000","20"
"1950","LAKE OF THE WOODS","CORN","CORN, GRAIN","600","12,000","20"
"1950","LAKE OF THE WOODS","FLAXSEED","FLAXSEED","7,500","75,000","10"
"1950","LAKE OF THE WOODS","HAY","HAY","24,200","N/A","N/A"
"1950","LAKE OF THE WOODS","OATS","OATS","7,700","238,700","31"
"1950","LAKE OF THE WOODS","RYE","RYE","170","3,060","18"
"1950","LAKE OF THE WOODS","WHEAT","WHEAT","3,560","75,820","21.3"
"1950","LAKE OF THE WOODS","WHEAT","WHEAT, SPRING, (EXCL DURUM)","2,400","52,800","22"
"1950","LAKE OF THE WOODS","WHEAT","WHEAT, SPRING, DURUM","60","1,020","17"
"1950","LAKE OF THE WOODS","WHEAT","WHEAT, WINTER","1,100","22,000","20"
"1950","LE SUEUR","BARLEY","BARLEY","7,000","231,000","33"
"1950","LE SUEUR","CORN","CORN, GRAIN","59,000","2,714,000","46"
"1950","LE SUEUR","FLAXSEED","FLAXSEED","2,600","32,500","12.5"
"1950","LE SUEUR","HAY","HAY","31,200","N/A","N/A"
"1950","LE SUEUR","OATS","OATS","46,900","2,345,000","50"
"1950","LE SUEUR","RYE","RYE","500","10,500","21"
"1950","LE SUEUR","SOYBEANS","SOYBEANS","7,200","129,600","18"
"1950","LE SUEUR","WHEAT","WHEAT","7,060","149,400","21.2"
"1950","LE SUEUR","WHEAT","WHEAT, SPRING, (EXCL DURUM)","3,200","67,200","21"
"1950","LE SUEUR","WHEAT","WHEAT, SPRING, DURUM","460","7,400","16.1"
"1950","LE SUEUR","WHEAT","WHEAT, WINTER","3,400","74,800","22"
"1950","LINCOLN","BARLEY","BARLEY","29,700","831,600","28"
"1950","LINCOLN","CORN","CORN, GRAIN","78,400","2,508,800","32"
"1950","LINCOLN","FLAXSEED","FLAXSEED","28,500","285,000","10"
"1950","LINCOLN","HAY","HAY","32,300","N/A","N/A"
"1950","LINCOLN","OATS","OATS","69,400","2,498,400","36"
"1950","LINCOLN","RYE","RYE","2,800","42,000","15"
"1950","LINCOLN","SOYBEANS","SOYBEANS","3,100","37,200","12"
"1950","LINCOLN","WHEAT","WHEAT","7,130","120,900","17"
"1950","LINCOLN","WHEAT","WHEAT, SPRING, (EXCL DURUM)","6,900","117,300","17"
"1950","LINCOLN","WHEAT","WHEAT, SPRING, DURUM","180","2,700","15"
"1950","LINCOLN","WHEAT","WHEAT, WINTER","50","900","18"
"1950","LYON","BARLEY","BARLEY","27,000","810,000","30"
"1950","LYON","CORN","CORN, GRAIN","134,700","5,388,000","40"
"1950","LYON","FLAXSEED","FLAXSEED","50,300","528,200","10.5"
"1950","LYON","HAY","HAY","31,300","N/A","N/A"
"1950","LYON","OATS","OATS","84,000","3,276,000","39"
"1950","LYON","RYE","RYE","800","13,600","17"
"1950","LYON","SOYBEANS","SOYBEANS","4,600","55,200","12"
"1950","LYON","WHEAT","WHEAT","4,850","86,970","17.9"
"1950","LYON","WHEAT","WHEAT, SPRING, (EXCL DURUM)","4,700","84,600","18"
"1950","LYON","WHEAT","WHEAT, SPRING, DURUM","30","450","15"
"1950","LYON","WHEAT","WHEAT, WINTER","120","1,920","16"
"1950","MAHNOMEN","BARLEY","BARLEY","8,200","246,000","30"
"1950","MAHNOMEN","CORN","CORN, GRAIN","12,500","275,000","22"
"1950","MAHNOMEN","FLAXSEED","FLAXSEED","4,100","41,000","10"
"1950","MAHNOMEN","HAY","HAY","25,700","N/A","N/A"
"1950","MAHNOMEN","OATS","OATS","25,900","880,600","34"
"1950","MAHNOMEN","RYE","RYE","800","9,600","12"
